Id,Name,Popularity,Followers,Genres
5ivCbtrcD5N4rD337xIb2z,MisterWives,65,404408,"electropop, indie poptimism, modern rock, nyc pop, pop rock"
0YhUSm86okLWldQVwJkLlP,Bad Suns,64,415591,"indie pop, indie poptimism, la indie, modern alternative rock, modern rock, pop rock, rock"
1W2Fv4YUnjC8hx2qQd6fGh,Stand Atlantic,60,126015,"anthem emo, modern rock, pixie, pop punk"
2p4FqHnazRucYQHyDCdBrJ,Simple Plan,72,3059063,"canadian pop punk, canadian punk, canadian rock, pop punk"
2CmaKO2zEGJ1NWpS1yfVGz,Falling In Reverse,75,1963170,"modern rock, rap metal, rock"
2qc41rNTtdLK0tV3mJn2Pm,Ryan Adams,61,530760,"alternative country, folk, neo mellow, new americana, pop rock, roots rock, singer-songwriter, stomp and holler"
7mnBLXK823vNxN3UWB7Gfz,The Black Keys,73,3611465,"alternative rock, blues rock, garage rock, modern blues rock, modern rock, punk blues, rock, roots rock"
4tX2TplrkIP4v05BNC903e,Tom Petty and the Heartbreakers,71,2113851,"album rock, blues rock, classic rock, country rock, folk rock, hard rock, heartland rock, mellow gold, pop rock, psychedelic rock, rock, roots rock, soft rock"
6olE6TJLqED3rqDCT0FyPh,Nirvana,83,14459004,"alternative rock, grunge, permanent wave, rock"
1co4F2pPNH8JjTutZkmgSm,Ramones,69,2214592,"classic rock, early us punk, permanent wave, punk, rock, skate punk"
7oPftvlwr6VrsViSDV7fJY,Green Day,82,12961133,"permanent wave, punk"
02NfyD6AlLA12crYzw5YcR,Jane's Addiction,60,1103423,"alternative metal, alternative rock, blues rock, funk metal, funk rock, grunge, hard rock, nu metal, permanent wave, pop rock, rock"
2DaxqgrOhkeH0fpeiQq2f4,Oasis,79,6987423,"beatlesque, britpop, madchester, permanent wave, rock"
07XSN3sPlIlB2L2XNcTwJw,KISS,75,6743882,"album rock, classic rock, glam rock, hard rock, metal, rock"
01aC2ikO4Xgb2LUpf9JfKp,Gary Clark Jr.,65,805211,"blues rock, electric blues, modern blues, modern blues rock, rock, soul blues, texas blues"
5svDnd8joFhbpbA3Ar0CfN,Junkie XL,64,96617,"big beat, soundtrack"
2xiIXseIJcq3nG7C8fHeBj,Three Days Grace,77,4979378,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge"
6XyY86QOPPrYVGvF9ch6wz,Linkin Park,86,20984254,"alternative metal, nu metal, post-grunge, rap metal"
7gP3bB2nilZXLfPHJhMdvc,Foster The People,76,3354972,"indietronica, modern rock, pop rock, rock"
41Q0HrwWBtuUkJc7C1Rp6K,311,65,803940,"alternative metal, alternative rock, funk metal, funk rock, nu metal, pop rock, rap rock, reggae fusion, rock"
1hzfo8twXdOegF3xireCYs,Milky Chance,75,1586976,german pop
